file,s1,s2,b1,b2,percDif
random116.gcg,531,699,1,3,27.31707317073171
random670.gcg,624,587,1,1,6.11065235342692
random1454.gcg,697,577,1,1,18.83830455259027
random1440.gcg,596,656,0,1,9.584664536741213
random664.gcg,493,758,0,3,42.366107114308555
random102.gcg,612,660,1,3,7.547169811320755
random1326.gcg,647,644,3,2,0.46475600309837334
random1468.gcg,602,668,2,2,10.393700787401574
random894.gcg,877,532,5,1,48.970901348474094
random658.gcg,627,842,2,2,29.271613342409804
random880.gcg,807,597,2,1,29.914529914529915
random32.gcg,521,797,0,3,41.88163884673748
random26.gcg,747,652,1,2,13.581129378127233
random499.gcg,548,642,0,2,15.798319327731091
random472.gcg,616,558,1,0,9.880749574105621
random314.gcg,664,581,2,2,13.333333333333334
random1130.gcg,727,579,2,1,22.6646248085758
random1124.gcg,759,592,2,1,24.72242783123612
random300.gcg,689,616,0,2,11.187739463601533
random466.gcg,549,741,0,2,29.767441860465116
random328.gcg,703,604,3,1,15.14919663351186
random1118.gcg,703,646,3,2,8.450704225352112
random1119.gcg,524,701,0,3,28.89795918367347
random329.gcg,611,644,1,1,5.2589641434262955
random301.gcg,813,550,3,0,38.59134262655906
random1125.gcg,702,638,2,1,9.55223880597015
random467.gcg,514,729,0,1,34.593724859211584
random473.gcg,579,638,0,0,9.69597370583402
random1131.gcg,565,643,1,3,12.91390728476821
random315.gcg,679,604,1,1,11.691348402182385
random498.gcg,594,658,1,2,10.223642172523961
random27.gcg,719,587,2,0,20.21439509954058
random33.gcg,829,661,3,2,22.550335570469798
random881.gcg,740,481,3,0,42.42424242424242
random659.gcg,729,584,1,1,22.086824067022086
random895.gcg,565,689,0,2,19.776714513556616
random1469.gcg,607,675,2,2,10.60842433697348
random665.gcg,677,679,1,2,0.2949852507374631
random1441.gcg,707,587,1,1,18.547140649149924
random1327.gcg,655,646,0,1,1.3835511145272867
random103.gcg,628,629,1,2,0.15910898965791567
random117.gcg,791,511,3,0,43.01075268817204
random1333.gcg,691,598,2,1,14.42979053529868
random1455.gcg,626,608,0,0,2.9173419773095626
random671.gcg,626,598,0,0,4.57516339869281
random842.gcg,624,719,1,1,14.147431124348472
random856.gcg,704,653,3,2,7.516580692704496
random1482.gcg,639,578,1,2,10.024650780608052
random1496.gcg,586,574,0,1,2.0689655172413794
random1509.gcg,697,568,2,1,20.395256916996047
random739.gcg,537,729,0,3,30.33175355450237
random711.gcg,617,770,0,4,22.0620043258832
random1253.gcg,741,588,2,1,23.024830699774267
random1247.gcg,561,744,1,3,28.045977011494255
random1521.gcg,676,716,0,4,5.747126436781609
random705.gcg,735,658,1,2,11.055276381909549
random936.gcg,560,591,0,2,5.386620330147697
random922.gcg,606,666,2,2,9.433962264150944
random1290.gcg,740,624,3,1,17.008797653958943
random1284.gcg,600,573,1,2,4.603580562659847
random249.gcg,668,568,1,0,16.181229773462782
random1079.gcg,650,588,1,1,10.016155088852988
random275.gcg,690,578,2,3,17.665615141955836
random1051.gcg,666,630,1,0,5.555555555555555
random513.gcg,663,578,3,0,13.698630136986301
random507.gcg,795,626,1,1,23.78606615059817
